date,Volume,Close,High,%Deliverble
2022-10-20,4009918.5,1584.3264,1604.1163,0.5947184
2022-10-21,4134855.5,1578.7695,1605.6573,0.58641434
2022-10-22,4030472.8,1551.5107,1597.983,0.6358418
2022-10-23,5162707.0,1527.8496,1545.1987,0.6137355
2022-10-24,5180723.0,1535.4305,1549.2808,0.5768859
2022-10-25,5414635.5,1523.0435,1550.8196,0.5990411
2022-10-26,3175471.0,1525.64,1542.1786,0.61812526
2022-10-27,4332549.0,1516.7628,1505.1758,0.62053853
2022-10-28,6830052.5,1482.7462,1483.2605,0.59177387
2022-10-29,6885924.0,1457.3462,1477.449,0.58323854
2022-10-30,6496089.5,1471.126,1481.4934,0.5839256
2022-10-31,8599958.0,1466.2705,1488.7697,0.6232673
2022-11-01,3532782.8,1554.2866,1575.0121,0.56640327
2022-11-02,3503199.0,1555.3778,1566.409,0.6834544
2022-11-03,3943924.2,1597.0621,1597.1108,0.6709548
2022-11-04,1162370.4,1591.265,1596.228,0.67077446
2022-11-05,5111634.5,1613.4637,1616.2463,0.69989616
2022-11-06,3544634.8,1613.9104,1612.4635,0.69089586
2022-11-07,4002501.2,1616.2944,1616.9575,0.68447804
2022-11-08,3959307.5,1602.1805,1615.5325,0.68427795
2022-11-09,3883096.0,1613.0328,1615.1941,0.68092704
2022-11-10,3681143.5,1627.8887,1620.2726,0.69999516
2022-11-11,3884083.0,1628.1841,1621.7087,0.6921873
2022-11-12,3788274.2,1621.3623,1627.3309,0.7093193
2022-11-13,3038977.0,1621.9109,1622.1306,0.6875093
2022-11-14,3279604.5,1607.8854,1614.4445,0.7007326
2022-11-15,3268841.0,1607.2528,1614.4987,0.7015597
2022-11-16,4176535.0,1603.2286,1618.2363,0.7488063
2022-11-17,5435205.0,1598.0701,1617.5872,0.71653134
2022-11-18,4616330.0,1603.7776,1609.0161,0.7135419
2022-11-19,5525508.0,1602.8207,1609.5447,0.74019283
2022-11-20,4917948.0,1587.0022,1608.4637,0.7661876
2022-11-21,4889588.5,1600.8732,1612.6271,0.7483566
2022-11-22,5417030.0,1583.0415,1611.5948,0.75293666
2022-11-23,5087840.0,1560.3208,1570.1902,0.750438
2022-11-24,4864278.0,1541.0951,1568.2506,0.7226347
2022-11-25,3390203.5,1532.0486,1568.4624,0.56705046
2022-11-26,2821851.8,1511.8187,1556.6017,0.5746805
2022-11-27,4503756.5,1505.5465,1515.6082,0.5758962
2022-11-28,4083034.2,1507.8306,1522.1979,0.5611055
2022-11-29,6012008.5,1504.676,1529.6788,0.56106955
2022-11-30,6985070.5,1508.9369,1526.4714,0.64347225
